1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 0.983538, 1, 1, 1, 1, 1
1, 1, 1, 0.734389, 0.605865, 0.667187, 0.933768, 1, 1, 1
1, 1, 0.763558, 0.438853, 0.30915, 0.372675, 0.631642, 1, 1, 1
1, 1, 0.557084, 0.234635, 0.104989, 0.169574, 0.428858, 0.883427, 1, 1
1, 0.978707, 0.461135, 0.137752, 0.00813871, 0.072524, 0.33115, 0.783932, 1, 1
1, 1, 0.48681, 0.16276, 0.0326879, 0.0967152, 0.355027, 0.807424, 1, 1
1, 1, 0.647728, 0.323629, 0.193265, 0.257908, 0.515164, 0.966243, 1, 1
1, 1, 0.954881, 0.636346, 0.504825, 0.572541, 0.827322, 1, 1, 1
1, 1, 1, 1, 0.977309, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
